org_id,source_event_timestamp,footprints_used
4,2023-03-22 04:35:49.358665 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:35:51.153115 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:36:47.710682 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:35:49.890057 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:35:44.790817 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:35:58.504932 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:35:51.572327 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:35:49.358665 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:35:51.153115 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
4,2023-03-22 04:36:47.710682 UTC,"{""coordinates"": [[[-45.797621443457686, -14.532794101752998], [-45.83176507098328, -14.699687825613944], [-45.54476332154601, -14.754479088881569], [-45.510924079350836, -14.587896708076261], [-45.797621443457686, -14.532794101752998]]], ""type"": ""Polygon""}"
5,2023-03-07 19:37:53.909578 UTC,"{""coordinates"": [[[-42.84192521875886, -19.159740858881108], [-42.88019038295963, -19.34025274300778], [-42.56176278486504, -19.400992649817947], [-42.52383031874507, -19.22040380402673], [-42.84192521875886, -19.159740858881108]]], ""type"": ""Polygon""}"
5,2023-03-07 19:37:53.909575 UTC,"{""coordinates"": [[[-42.84192521875886, -19.159740858881108], [-42.88019038295963, -19.34025274300778], [-42.56176278486504, -19.400992649817947], [-42.52383031874507, -19.22040380402673], [-42.84192521875886, -19.159740858881108]]], ""type"": ""Polygon""}"
5,2023-03-07 19:37:53.909564 UTC,"{""coordinates"": [[[-42.84192521875886, -19.159740858881108], [-42.88019038295963, -19.34025274300778], [-42.56176278486504, -19.400992649817947], [-42.52383031874507, -19.22040380402673], [-42.84192521875886, -19.159740858881108]]], ""type"": ""Polygon""}"
5,2023-03-07 19:37:53.909571 UTC,"{""coordinates"": [[[-42.84192521875886, -19.159740858881108], [-42.88019038295963, -19.34025274300778], [-42.56176278486504, -19.400992649817947], [-42.52383031874507, -19.22040380402673], [-42.84192521875886, -19.159740858881108]]], ""type"": ""Polygon""}"
